ASN|CC|AS_Name
11020|US|QNET-ASN - Quantum Networking Solutions, Inc.
11021|US|AUTOTRADER-AS - AutoTrader.com, Inc.
11022|US|ALABANZA-BALT - Alabanza, Inc.
11023|US|SYSSRC - System Source
11025|US|COMCAST-HOUSTON - Comcast Cable Communications, LLC
1102|NL|SMEERBOEL-AS SMEERBOEL BV
11030|US|QUALCOMM - Qualcomm, Inc.
11031|CA|ORBIS-INVESTMENTS - Orbis Investments (Canada) Limited
11032|CA|UQ - Universite du Quebec
11035|US|KCPA1 - The Raymond F. Kravis Center for the Performing Arts, Inc.
11036|US|AVISPL - Signal Perfection, Ltd., Inc.
11038|US|SALISH-NETWORKS - Salish Networks, Inc.
11039|US|GWU - The George Washington University
1103|NL|SURFNET-NL SURFnet, The Netherlands
11042|US|NTHL - NETWORK TRANSIT HOLDINGS LLC
11044|Unknown|-Reserved AS-
11045|US|STERLING - Sterling Communications, Inc.
11046|US|LITTLE-APPLE - Little Apple Technologies
11047|US|HHCC-ASN1 - Hartford Hospital
11049|US|DYN - Dynamic Network Services, Inc.
1104|EU|NIKHEF FOM-Nikhef
11050|US|KENT-STATE - Kent State University
11051|US|CYBERVERSE - Cyberverse, Inc.
11052|US|IHC-NET - Intermountain Health Care
11054|US|LIVEPERSON - LivePerson, Inc.
11056|US|BERGERMONTAGUE - Berger & Montague, P.C
11057|US|WTHOMPSONCO - J. Walter Thompson
11061|US|HUGHES-EC - Antelecom, Inc.
11062|US|MTCO-COMMUNICATIONS - MTCO Communications
11066|US|CNFNET - Con-way, Inc.
11067|US|PTSINET - Panhandle Telecommunications Systems, INC.
11068|US|HBMMJAS - Hanna, Brophy, MacLean, McAleer & Jensen, L.L.P
11069|US|EGIX-INDY-AS-11069 - Egix, Inc.
11070|US|META-AS - Metanet Communications, Inc.
11071|US|IW-ASN-11071 - InfoWest, Inc.
11072|US|RTS-US - Redflex Traffic Systems, Inc.
11073|US|MPR-DUAL-INT - Minnesota Public Radio
11074|US|RBS-CHG - Sidera Networks LLC
11075|US|BVI-AS1 - Broadway Video, Inc.
11076|US|COMMUNITY-COMPUTER-SERVICE-INC - COMMUNITY COMPUTER SERVICE INC
11077|CA|XBASE-ASN1 - XBASE Technologies Corp.
11078|US|BROWN - Brown University
11080|US|YKWC - Yellowknife Wireless Company, LLC
11081|CW|United Telecommunication Services (UTS)
11084|CA|HURONTEL - Huron Telecommunications Cooperative Limited
