TLD,AbuseDomains,TotalDomainCount,abusePercent
aig,2,42,0.047619047619047616
shell,1,21,0.047619047619047616
kpn,2,42,0.047619047619047616
nowruz,2,43,0.046511627906976744
azure,1,22,0.045454545454545456
auspost,2,44,0.045454545454545456
so,471,10576,0.044534795763993947
motorcycles,7,161,0.043478260869565216
sap,1,24,0.041666666666666664
ifm,1,24,0.041666666666666664
windows,1,24,0.041666666666666664
firmdale,2,48,0.041666666666666664
komatsu,1,24,0.041666666666666664
trust,2,51,0.0392156862745098
sc,205,5384,0.03807578008915304
saxo,2,53,0.03773584905660377
monash,2,54,0.037037037037037035
edeka,2,56,0.03571428571428571
tj,222,6356,0.034927627438640654
bing,1,29,0.034482758620689655
cba,2,59,0.03389830508474576
su,4168,123901,0.03363976077674918
fox,2,60,0.03333333333333333
hotmail,1,30,0.03333333333333333
fage,2,61,0.03278688524590164
autos,2,61,0.03278688524590164
foo,1,32,0.03125
lotto,2,65,0.03076923076923077
fm,504,16558,0.030438458751056892
abb,1,33,0.030303030303030304
xn--rovu88b,1,34,0.029411764705882353
ug,209,7137,0.02928401289057027
biz,59199,2027243,0.029201728653151102
la,1153,39502,0.029188395524277252
prudential,2,71,0.028169014084507043
schwarz,2,73,0.0273972602739726
google,1,37,0.02702702702702703
afl,2,75,0.02666666666666667
aquarelle,1,38,0.02631578947368421
xn--bck1b9a5dre4c,1,38,0.02631578947368421
tf,76,2945,0.025806451612903226
pw,12175,473984,0.02568652106400216
canon,1,39,0.02564102564102564
pru,2,79,0.02531645569620253
rent,110,4373,0.02515435627715527
xbox,1,40,0.025
toray,1,40,0.025
sener,1,40,0.025
to,520,21149,0.024587450943307013
protection,2,82,0.024390243902439025
cancerresearch,2,85,0.023529411764705882
mango,1,43,0.023255813953488372
iselect,2,86,0.023255813953488372
sky,1,44,0.022727272727272728
mu,202,8966,0.02252955610082534
new,1,45,0.022222222222222223
uol,1,45,0.022222222222222223
cx,242,10902,0.022197761878554392
rich,2,91,0.02197802197802198
yt,69,3172,0.021752837326607818
whoswho,2,94,0.02127659574468085
ms,193,9095,0.021220450797141285
sh,238,11252,0.021151795236402416
stada,2,96,0.020833333333333332
discover,2,101,0.019801980198019802
xn--jvr189m,1,51,0.0196078431372549
gdn,5813,298339,0.019484546103593563
microsoft,1,52,0.019230769230769232
jnj,2,106,0.018867924528301886
ws,2993,159483,0.018766890514976518
theatre,2,108,0.018518518518518517
click,596,33389,0.0178501901823954
