ASN,CC,IP,numberOfIPs,abusePercent
132425,SG,1,2040,0.0004901960784313724
132435,MY,4,2040,0.0019607843137254897
132445,IN,2,4080,0.0004901960784313724
132453,IN,3,17340,0.00017301038062283736
132458,AU,1,2805,0.00035650623885917997
132467,AF,2,510,0.0039215686274509795
132489,BD,1,1020,0.0009803921568627449
132497,IN,1,8415,0.00011883541295306001
132510,CN,1,42330,2.362390739428301e-05
132518,Unknown,7,1785,0.0039215686274509795
132519,Unknown,1,2040,0.0004901960784313724
132525,CN,53,363630,0.00014575255066963673
132540,IN,2,2805,0.0007130124777183599
132543,BD,1,1275,0.000784313725490196
132547,IN,1,2040,0.0004901960784313724
132556,Unknown,17,16065,0.0010582010582010585
132559,Unknown,1,2040,0.0004901960784313724
132562,Unknown,1,1020,0.0009803921568627449
132564,Unknown,2,1275,0.001568627450980392
132566,Unknown,2,3060,0.00065359477124183
13257,RU,1,14280,7.002801120448179e-05
132573,Unknown,2,3060,0.00065359477124183
132585,HK,2,13770,0.00014524328249818444
132586,AU,2,6120,0.000326797385620915
13259,RU,1,3570,0.00028011204481792715
132590,KH,2,2040,0.0009803921568627449
132599,KH,3,1020,0.0029411764705882357
132615,PH,1,2295,0.00043572984749455336
132622,BD,2,2040,0.0009803921568627449
132634,Unknown,1,510,0.0019607843137254897
132637,Unknown,1,1020,0.0009803921568627449
132641,Unknown,7,4080,0.001715686274509804
132644,Unknown,1,2040,0.0004901960784313724
132647,Unknown,4,1530,0.00261437908496732
132652,Unknown,1,2040,0.0004901960784313724
132658,Unknown,1,255,0.0039215686274509795
132663,Unknown,1,765,0.00130718954248366
132668,Unknown,1,1020,0.0009803921568627449
132669,Unknown,3,1020,0.0029411764705882357
132670,Unknown,1,255,0.0039215686274509795
132676,Unknown,2,765,0.00261437908496732
132680,AU,1,1785,0.0005602240896358543
132692,NZ,2,1785,0.0011204481792717086
132701,TH,3,510,0.005882352941176471
132717,IN,5,6885,0.0007262164124909223
132719,CN,1,18360,5.446623093681917e-05
13272,EE,4,123420,3.2409658078107274e-05
132721,NL,4,8415,0.00047534165181224003
132735,BD,3,2040,0.0014705882352941176
132742,HK,3,37740,7.94912559618442e-05
132744,NZ,2,2040,0.0009803921568627449
132752,Unknown,1,1020,0.0009803921568627449
132754,Unknown,4,3570,0.0011204481792717086
132761,Unknown,2,3060,0.00065359477124183
132768,Unknown,11,6885,0.0015976761074800293
132770,Unknown,7,27285,0.00025655121861828845
132771,Unknown,2,1020,0.0019607843137254897
132772,Unknown,3,1530,0.0019607843137254897
132773,Unknown,1,255,0.0039215686274509795
132774,Unknown,4,2805,0.0014260249554367199
132778,Unknown,10,4080,0.0024509803921568627
132779,Unknown,4,8415,0.00047534165181224003
132787,IN,1,2295,0.00043572984749455336
132816,SG,2,2040,0.0009803921568627449
132825,AU,1,3818,0.00026191723415400735
132839,HK,22,367455,5.9871276754976795e-05
13285,GB,101,3438420,2.9373956642876672e-05
132866,TH,1,2040,0.0004901960784313724
132874,MY,1,1020,0.0009803921568627449
132879,TH,2,255,0.007843137254901959
132883,HK,6,12750,0.00047058823529411766
132893,IN,1,2040,0.0004901960784313724
13292,AT,1,8160,0.00012254901960784314
132923,Unknown,3,3570,0.0008403361344537817
132933,Unknown,5,9180,0.0005446623093681918
132934,Unknown,9,4335,0.002076124567474049
132957,Unknown,1,3060,0.000326797385620915
13296,RU,1,2295,0.00043572984749455336
132960,Unknown,4,3060,0.00130718954248366
132974,Unknown,6,2550,0.002352941176470588
132976,Unknown,6,6375,0.0009411764705882351
132996,Unknown,2,3315,0.0006033182503770738
133000,Unknown,3,1530,0.0019607843137254897
133001,Unknown,6,16830,0.00035650623885917997
